marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,n_reviews,sentiment_score
US,13291352,R1CUESPVBEPW5O,B006PN9K20,194575117,Banana Yellow Gourmet Salt Water Taffy 1 Pound Bag,Grocery,1,0.0,0.0,N,N,avoid this style!,"I got this by mistake, somehow.  there seems to be a regular yellow candy style AND then there is this red stripe variety.  I had ordered the yellow plain kind but they shipped this, instead.  I tried two pieces.  could not even finish either one.  tasted like wax or something very flavorless!  I would not buy this.  in fact, I did not, but for some reason, amazon shipped this to me.",2015-08-29,14,0.7263
US,37307498,RZP5EWKOBX5KH,B009L9TMBY,696947556,"Deluxe Mixed Nuts Raw, 2Lbs",Grocery,2,1.0,1.0,N,Y,Ixnay on the rotten nuts.,"Probably would have been good, but my nuts were rancid.",2015-08-28,20,-0.775
US,16713356,R3TJAA4Z41IHXE,B00D4GVY1Q,358382489,Plum Organics Little Yums Teething Wafers,Grocery,1,2.0,3.0,N,Y,Made my baby sick,"I was happy with these at first, but my 10 month old had two and then 6 ozs of formula and became cranky. About an hour later she threw up the two teething wafers only. Not for sure if those are what caused it, but I tried giving one to her two days later and she absolutely refused it. She even shuttered when she took a taste before refusing it. It may not be the product but maybe she has a sensitivity to rice or some other ingredient in them. Better off anyways since we don't, especially her, need to be consuming rice products often.",2015-08-27,22,0.0174
US,13614526,R3VZ726SRT2PU7,B00C6817HY,951776824,"Vegemite 220g - Two Pack, with Amazon Prime, Australian Import",Grocery,1,0.0,5.0,N,Y,Made me sick,This Vegemite made me very ill. I broke out in hives and got a massive headache. I must be allergic to it. I tried to return it but was not able too.,2015-08-25,77,-0.5698
US,23633301,R3GUP8V2Y1PNIH,B00BJ9UJ7U,565850617,Starbucks Decaf Pike Place Roast K-Cup for Keurig Brewers,Grocery,1,0.0,3.0,N,Y,I am so sick of the horrible ingredients in Starbucks coffee like,"Starbucks uses the paint stripper solvent Methylene Chloride to decaffeinate their coffee  As per the EPA, the effects of chronic exposure targets the central nervous system and animal studies have shown increases in liver and lung cancer and benign mammary gland tumors. REALLY?! I am so sick of the horrible ingredients in Starbucks coffee like: Caramel Coloring (a cancer causer), Pesticides, Carrageenan (a cancer causer), GMO High Fructose Corn Syrup, Refined Flours. GMO Chemically Derived Sugars, GMO Preservatives, Growth Hormone (in food products), Azodicarbonamide, GMO Inflammatory Oils. Just say boycott Starbucks until they eliminate all the dangerous ingredients in their coffee and decaffeinate without paint stripper.",2015-08-24,113,-0.973
US,47973491,R1NOLST0E8IATT,B0036ZIF9Y,923729241,Gemlik Type Black Olives LUX – 1.1lb (500g),Grocery,1,2.0,2.0,N,Y,Mine were rotten and tasted horrible...,"I am Turkish and I've never had any problems with Marmarabirlik olives in my whole life.  HOWEVER, this is the first time I've ordered them online and I have to say there were the worst olives I've ever tasted.  They were rotten!  My Mom even commented that these olives are bad.  Maybe I got a bad batch because this company makes one of the very best Turkish olives on the market.  I'm extremely disappointed with this online order.",2015-08-24,7,-0.9069
US,30293525,R1FRDE0OIA546B,B00TCOAXR0,915238907,Chung Jung One Anchovy Sauce Blue,Grocery,1,3.0,9.0,N,Y,.It tastes like it was made with rotted anchovies....,The taste is okay....Nothing spectacular....It tastes like it was made with rotted anchovies....<br />The main problem: I braised something using this sauce and my apartment stunk like rotted fish for days....<br />The cheap plastic bottle does not make this product more enticing.....,2015-08-19,3,-0.0772
US,50106447,R2KIR9GSCGNQI6,B002N723Q2,479009963,"Numi Organic Black Tea, Loose Leaf Tea",Grocery,1,1.0,3.0,N,Y,"Good taste, but with rotten flavor","Good taste, but absolutely no flavor, both dry and brewed. Contacted Numi Customer Service. Got careless response, They sent me a couple of tea bags which were much worse than the loose Emperor's Puerh tea. After a month or so it smells rotten. Still taste is OK",2015-08-19,15,-0.9272
US,15010230,R3KNHUKVRBVWZI,B0037RMHSG,985687682,Navitas Naturals Organic Goji Berries,Grocery,1,1.0,2.0,N,Y,Personally made me sick,Be careful upset my stomach so bad went to ER,2015-08-18,15,-0.7573
US,22365141,RGSXU84MSLDY7,B006GL6N9E,776164341,Fruit Basket Delight with Cheese and Nuts,Grocery,2,0.0,0.0,N,Y,rotten fruit,I sent this to my Mom for Mothers Day and the fruit was rotten! It made me feel terrible.,2015-08-12,159,-0.7712
