,Unnamed: 0,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,sentiment_score
8909,8911,US,37307498,RZP5EWKOBX5KH,B009L9TMBY,696947556,"Deluxe Mixed Nuts Raw, 2Lbs",Grocery,2.0,1.0,1.0,N,Y,Ixnay on the rotten nuts.,"Probably would have been good, but my nuts were rancid.",2015-08-28,-0.775
17428,17431,US,13614526,R3VZ726SRT2PU7,B00C6817HY,951776824,"Vegemite 220g - Two Pack, with Amazon Prime, Australian Import",Grocery,1.0,0.0,5.0,N,Y,Made me sick,This Vegemite made me very ill. I broke out in hives and got a massive headache. I must be allergic to it. I tried to return it but was not able too.,2015-08-25,-0.5698
20975,20978,US,23633301,R3GUP8V2Y1PNIH,B00BJ9UJ7U,565850617,Starbucks Decaf Pike Place Roast K-Cup for Keurig Brewers,Grocery,1.0,0.0,3.0,N,Y,I am so sick of the horrible ingredients in Starbucks coffee like,"Starbucks uses the paint stripper solvent Methylene Chloride to decaffeinate their coffee  As per the EPA, the effects of chronic exposure targets the central nervous system and animal studies have shown increases in liver and lung cancer and benign mammary gland tumors. REALLY?! I am so sick of the horrible ingredients in Starbucks coffee like: Caramel Coloring (a cancer causer), Pesticides, Carrageenan (a cancer causer), GMO High Fructose Corn Syrup, Refined Flours. GMO Chemically Derived Sugars, GMO Preservatives, Growth Hormone (in food products), Azodicarbonamide, GMO Inflammatory Oils. Just say boycott Starbucks until they eliminate all the dangerous ingredients in their coffee and decaffeinate without paint stripper.",2015-08-24,-0.973
22255,22258,US,47973491,R1NOLST0E8IATT,B0036ZIF9Y,923729241,Gemlik Type Black Olives LUX – 1.1lb (500g),Grocery,1.0,2.0,2.0,N,Y,Mine were rotten and tasted horrible...,"I am Turkish and I've never had any problems with Marmarabirlik olives in my whole life.  HOWEVER, this is the first time I've ordered them online and I have to say there were the worst olives I've ever tasted.  They were rotten!  My Mom even commented that these olives are bad.  Maybe I got a bad batch because this company makes one of the very best Turkish olives on the market.  I'm extremely disappointed with this online order.",2015-08-24,-0.9069
35551,35555,US,30293525,R1FRDE0OIA546B,B00TCOAXR0,915238907,Chung Jung One Anchovy Sauce Blue,Grocery,1.0,3.0,9.0,N,Y,.It tastes like it was made with rotted anchovies....,The taste is okay....Nothing spectacular....It tastes like it was made with rotted anchovies....<br />The main problem: I braised something using this sauce and my apartment stunk like rotted fish for days....<br />The cheap plastic bottle does not make this product more enticing.....,2015-08-19,-0.0772
36779,36783,US,50106447,R2KIR9GSCGNQI6,B002N723Q2,479009963,"Numi Organic Black Tea, Loose Leaf Tea",Grocery,1.0,1.0,3.0,N,Y,"Good taste, but with rotten flavor","Good taste, but absolutely no flavor, both dry and brewed. Contacted Numi Customer Service. Got careless response, They sent me a couple of tea bags which were much worse than the loose Emperor's Puerh tea. After a month or so it smells rotten. Still taste is OK",2015-08-19,-0.9272
38144,38149,US,15010230,R3KNHUKVRBVWZI,B0037RMHSG,985687682,Navitas Naturals Organic Goji Berries,Grocery,1.0,1.0,2.0,N,Y,Personally made me sick,Be careful upset my stomach so bad went to ER,2015-08-18,-0.7573
54545,54550,US,22365141,RGSXU84MSLDY7,B006GL6N9E,776164341,Fruit Basket Delight with Cheese and Nuts,Grocery,2.0,0.0,0.0,N,Y,rotten fruit,I sent this to my Mom for Mothers Day and the fruit was rotten! It made me feel terrible.,2015-08-12,-0.7712
54664,54669,US,30678701,RA3NFEEXFY35,B00CF5ES2E,715417740,"Mission Foods Large Yellow Corn Taco Shell, 6 inch - 25 per pack -- 8 packs per case.",Grocery,2.0,2.0,2.0,N,N,"good when fresh, sickening when stale","Normally I'd be able to save really bad/stale taco shells by baking them in the oven or nuking them in the microwave to bring back the freshness, but I just had some Mission brand taco shells that were SO stale and SO nasty that they couldn't be saved.  I'm feeling sick to my stomach right now as I type this.<br /><br />I even dumped lots of salsa (really good fresh salsa) and mozzarella cheese over them in the hope this would get rid of the staleness, but despite microwaving thoroughly it didn't work.  Outside I shall dump this dish!  I probably could've tried baking them though- that usually works, but then again the box of shells I just had takes staleness to a whole new level.  My appetite's ruined for the day.<br /><br />Now if you eat these Mission shells the first couple weeks you buy them, no problem.  You can't store these ones for long periods of time like you can other brands.  That's the problem.  Be warned- they will turn your stomach the moment Mission shells go bad.  It's really surprising too.  I used to be someone who wouldn't complain at all about taco shells and just eat them anyway, but not this brand.",2015-08-12,-0.9722
61015,61021,US,14391210,RMC6ESIHDJHO8,B009XRHRZC,756206582,Dutch Soft Licorice Clogs-(Klompjes Drop)-GLUTEN FREE-4oz bag,Grocery,1.0,0.0,0.0,N,Y,sort of like eating some Brie cheeses that waft ammonia up the ...,"I can taste an ammonia after taste with this licorice. So, so gross, sort of like eating some Brie cheeses that waft ammonia up the sinuses. I am so disappointed because it is difficult to find gluten free licorice (black is real, the red stuff is just candy).  The one shaped like cats is thinner and did NOT have that aftertaste.",2015-08-10,-0.547
62742,62748,US,37104047,RCMCXLQL09U90,B00VVMTM14,24738717,30% Pure Vinegar - 300 Grain White Vinegar (1 Gallon),Grocery,4.0,8.0,9.0,N,Y,It is doing a good job of killing a large patch of poison ivy,"I appreciate that this 30% vinegar product, although very acidic, is at least more eco-friendly than other standard weed killing products.  It is doing a good job of killing a large patch of poison ivy.  I have had to reapply 3 times, but worth in.",2015-08-10,-0.3612
70037,70043,US,17741875,R250ZPZ3JJF5SM,B00OKZSZP8,847610248,Tealyra - Everyday Uji Matcha Green Tea Powder - Pure Japanese - Superior Antioxidant Content - All Day Energy - Improved Health - Lattes - Smoothies - Baking - Organically Grown,Grocery,1.0,1.0,3.0,N,N,This is the absolute worst Matcha! Made me sick to my stomach,"This is the absolute worst Matcha ! Made me sick to my stomach. I have had experience with matcha for a year and it has to be the bottom of the barrel ..Rishi, Pure Chimp,O-Cha is good matcha, but this Tealyra Matcha is crap, DO NOT BUY IT, IT WILL BE A WASTE OF YOUR MONEY!",2015-08-07,-0.9106
70176,70182,US,18428351,R3NC8GCBDMBRT9,B00VSHQKCG,194290120,"IdealShake, Meal Replacement Shake, w/ Hunger Blocker",Grocery,1.0,2.0,5.0,N,Y,This product was terrible.! It was so sickening sweet,This product was terrible.! It was so sickening sweet!  I even mixed it with a lot more liquid than called for.  Also it did not leave me feeling full. I will defiantly not buy this again,2015-08-07,-0.4393
70803,70811,US,13861214,R1X6047VQJ7JQ7,B00T77QT5M,290213412,"Barnana Organic Chewy Banana Bites Variety Pack, 12 Count",Grocery,1.0,0.0,2.0,N,Y,These taste like rotten moldy bananas,"These taste like rotten moldy bananas. I  was trying to find a product that came close to the banana chunks that the Philippine brand made since I can't seem to find them anymore, but these aren't even edible much less comparible.<br />Unfortunately it won't let me give no star.",2015-08-07,-0.4939
71886,71894,US,24746222,RF9CYG8LFBV88,B000KOWGG2,284948533,"Bumble Bee Sardines in Water, 3.75-Ounce Cans (Pack of 24)",Grocery,4.0,1.0,1.0,N,N,Very good. Not sure why ppl saying they get sick ...,Very good. Not sure why ppl saying they get sick etc. Never had an issue with bumble bee sardines. My only complaint is I get these for 85 cents a can at my local grocery store. Not sure why they are priced so high on amazon.,2015-08-06,-0.5852
81348,81357,US,10758520,R2CVIYP5R1B9BG,B009ZC6H4C,258997612,"Lakewood Organic Pure Purple Carrot, 32 Ounce (Pack of 6)",Grocery,1.0,0.0,1.0,N,Y,"WARNING not sealed, unsafe, made me nauseous and terrible diarrhea !","This juice was very expensive & I've purchased it other places ..THIS , was unsealed, and made me very ill !",2015-08-04,-0.5244
81823,81832,US,28422149,R1RSYR3TYTYR0X,B00E4URMI0,494982449,Cheez-It White Cheddar Baked Snack Crackers - 7oz - 2 boxes,Grocery,1.0,0.0,0.0,N,Y,Made me sick,I received nothing by crumbles and these made both myself and my mom sick to our stomach.  I will NEVER buy food online again.  Terrible idea.,2015-08-03,-0.7506
81962,81971,US,49744540,R2NKFZBXVXV142,B002IEVJRY,193351344,Illy issimo Coffee Drink (Pack of 12),Grocery,1.0,4.0,6.0,N,Y,Gross and dangerous additives,"Ugh. This stuff is the worst! I made the huge mistake of reading the reviews and not reading the ingredients :( Everyone was all pumped up about Illy being legit Italian and purist with just coffee and milk and cocoa... nope. It is full of weird chemicals and... Carrageenan!!! BARF! Really Illy? I and everyone I know avoids it like the plague as studies are constantly coming out about how detrimental to mammal digestive tracts it is. Wiki it, you'll find freaky facts about this seaweed derivative like &#34;dietary studies have observed colitis-like disease and tumour promotion&#34;. I mean, it's flipping coffee. Do we have to put crap like this in everything? SO bummed. Get it together Illy.",2015-08-03,-0.9086
86923,86932,US,52425231,R29QX8ZSPSSNOX,B007EC5MIM,310023253,"Jiffy Pop Butter Popcorn, 4.5 oz (Pack of 3)",Grocery,1.0,0.0,1.0,N,N,This is a dangerous product,"Having followed the directions, I can say this is a dangerous product.  It says it's acceptable to use on a gas range, but my range caught the remaining edge of the paper on fire, and that burned about 1/2 the popcorn.  I had 2 of these, and this happened on the first one when I put it on med, so I tried low on the 2nd one and it happened again.  It's clear this is not usable on a gas range.<br /><br />I hate this product and I wish they would say this is approved only for gas ranges.",2015-08-01,-0.2424
87229,87239,US,377165,R37SP3M0K5PKQB,B00N1RGMUG,433593223,"Nopal Bros Spicy Dried, Cactus Snacks,1.41 Ounce Bags (Pack of 5)",Grocery,1.0,0.0,0.0,N,N,The Nopal is nasty tasting Tastes like rotten prume and tabaco,The Nopal is nasty tasting  Tastes like rotten prume and tabaco mixed,2015-08-01,-0.6597
92461,92472,US,39315055,R2O55EFZHUL3L1,B00MDY0YVG,63674821,Lay's Cheddar Bacon Mac & Cheese Potato Chips Limited Edition 7.5oz,Grocery,1.0,1.0,3.0,N,N,"If you're afraid you've been poisoned and don't have ipecac, these will do the job.","These things - I refuse to call them &#34;chips&#34; as that insults chips everywhere - are an unholy abomination which should be wiped from the face of the earth. I have rarely if ever put something in my mouth that I needed to quickly spit out (short of siphoning a gas tank, for instance) and these are more gag-inducing than even that. There aren't words to describe the horror that is this potato chip. I'm just glad it was my coworker, and not myself, who wasted the dollar bill getting them out of the snack machine.",2015-07-30,-0.4717
94800,94811,US,50817445,R30VZHOSGHZFTY,B007IW305A,118841434,"Ajika Regal Pilaf with Nuts and Rasins -Whole Spice Aromatic Blend for Basmati Rice, 5-Ounce",Grocery,1.0,1.0,1.0,N,Y,"Terrible, buggy, rotten smell","What a different experience the other person who reviewed this item had.from mine. When i opened my jar, tiny little bugs appeared, crawling from inside the jar. The smell was strange, unpleasant, like spoiled refuse. The worst part was after i covered the jar and the jar was moving on the counter from the bugs inside of it. Absolutely horrifying. I wish now I'd taken a video of it - it was like something out of Poltergeist! Needless to say this item was thrown way (not inside the house) and i will not purchase any Ajika products ever again. I wish I could get the smell out of my nose, it's lingering there like a bad dream.",2015-07-29,-0.6734
98590,98601,US,42738111,R3OMR3IWMCHDTH,B00II6YIGU,167483393,Capstar Dogs & Cats Blue 2-25lbs 6 pk Flea Treatment,Grocery,4.0,0.0,0.0,N,Y,This is a good product. My cats had no ill effects and ...,This is a good product.  My cats had no ill effects and it did rid them of fleas.,2015-07-28,-0.2732
108424,108435,US,19278223,RGI0BTFNDROU9,B004OVWQDA,647776976,"Taste Nirvan, Coconut Water, (Pack of 12)",Grocery,3.0,5.0,5.0,N,Y,... return two of them because they did not taste like the others and made me feel nauseous I have ...,"This stuff is delicious and I have ordered several cases but after having to return two of them because they did not taste like the others and made me feel nauseous I have decided not to order any further products. This might not be the company's fault but Amazon's, regardless I feel the need to share my poor experience.",2015-07-25,-0.7364
110787,110798,US,30804716,R3AS6OXW82P248,B00VN76PCQ,584830304,"Crunchies Freeze Dried Fruit Snack Organic Variety Pack, 5 Count (Pack of 6)",Grocery,3.0,0.0,1.0,N,Y,Disappointing and dangerous for toddlers,"These were rather  disappointing - they are very tiny bits of freeze dried fruit in a very small package. The mango and apple bits are very hard, even when soaked in milk (I use this type of fruit in cereal). I definitely would not give these to toddlers because of danger of choking on the hard ones.",2015-07-24,-0.8437
117185,117196,US,50690069,RVHJN364P7C1K,B0012DIONY,820463241,"Nature Made Vitamin C 1000mg, 300 Tablets",Grocery,5.0,0.0,1.0,N,Y,An absolute necessity for those who get sick with cold easily,"I used to get sick with hideous cold, which literally immobilized me for weeks and I used to get cold 2-3 times/year, and I had the trend for over 10 years.<br /><br />With a 1000mg (one pill) daily supply of this & 15-30 minutes of exercise on a bicycle/day, I haven't had cold for over a year now, but I got sick lately and recovered quickly.  As far as I'm concerned, the one without rosehip seems to work better.<br /><br />I hate dealing with health insurance bogus (health insurance in the U.S is a joke, if not criminal act) so I'll keep getting this for the rest of my life.",2015-07-22,-0.7774
121172,121183,US,47249115,R2XQMYCMRB5GWF,B001534R00,106536491,"Celsius Calorie Reducing Drink, 12 Ounce Cans",Grocery,1.0,1.0,4.0,N,N,Makes you very jittery / dizzy. Tried on two ...,Makes you very jittery / dizzy. Tried on two different occasions both ended the same. Spending the rest of the day in bed after drinking.,2015-07-20,-0.2911
132542,132554,US,21898031,R3IYLFPISUW6VQ,B00GVXNTJY,923402324,"Pure N Simple 100% Pure Honey, 5 lb (80 oz) Bulk Size",Grocery,1.0,21.0,32.0,N,N,"I get sick and tired of people, trying to ...","I get sick and tired of people,trying to pass off junk as honey. Get a real job an work for it,,shammer,scamer.RIP OFF",2015-07-16,-0.7351
133640,133652,US,39238379,R1NC0SN56I6CLY,B0009QYJV6,987333030,"Russian Caravan Tea, 8oz.",Grocery,5.0,0.0,0.0,N,Y,I was sick of getting Russian caravan tea that tasted more like Chinese lapsang (not as smoky) and I really craved ...,Really smoky - just what I wanted.  I was sick of getting Russian caravan tea that tasted more like Chinese lapsang (not as smoky) and I really craved the smoky flavor.,2015-07-16,-0.1298
145694,145707,US,27549061,RSQQLI4BHXF10,B009EQI2NI,473821336,"The Original Soupman, 17.3 Ounce",Grocery,1.0,1.0,2.0,N,N,made me sick,"Tried it twice, first time made me sick, second time same result. Thought maybe it was just a bad batch or perhaps something else that day didn't sit well, probably some reaction to a preservative they use or the dates on the boxes aren't accurate, either way 100% of the time I've tried it it's made me ill.",2015-07-12,-0.8863
148420,148433,US,41157135,RRQQUOSXWNEM4,B00HS98ZXK,987114704,Three Bakers Gluten Free Rye Style Bread (Pack of 3),Grocery,1.0,0.0,1.0,N,N,It tastes great but makes me sick,"It is the best gluten free bread on the market, but it makes me have really bad diarrhea every time I eat it.  Is anyone else experiencing similar issues?",2015-07-11,-0.3484
160998,161012,US,43936929,RWT34J7LRMH8G,B00EYNR4H6,417817499,"Bolthouse Farms DAILY GREENS ""Kale, Spinach, Romaine"" 15.2 oz (12 Count)",Grocery,1.0,2.0,2.0,N,N,Made me sick,"Normally I don't even write reviews for anything but this definitely deserves a review, and for all the wrong reasons. I wanted to like this drink. The taste wasn't so great, but before I had even finished the whole thing I got really nauseous and threw up. It made me really sick until it was out of my system.",2015-07-06,-0.8523
169012,169029,US,2009466,R1ZCBJVNHRRXBH,B0000X0W6E,659668264,"Black Figs, 5lb",Grocery,1.0,0.0,0.0,N,Y,literally sickening,Terrible. Horrible. Made me sick. Unbelievably bad bad product should not have be sold as food. They company didnt even get back to me when i wanted to send them back.,2015-07-04,-0.9551
171500,171517,US,753990,R2S5Y3GTB42UOO,B0055UBV5S,947922898,Haribo Gummi Peach,Grocery,2.0,0.0,2.0,N,Y,they stink,They stink so I threw them away,2015-07-03,-0.4019
171884,171901,US,18333274,R1KTH53MT0PAK2,B00J074W7Q,2499702,"Orgain Organic Plant Based Protein Powder, Packaging May Vary",Grocery,3.0,1.0,3.0,N,Y,Then I got sick with the double over painful gas cramps that others discuss and it takes two ...,"It was okay.  I was okay with the stevia and adding things to it.  It is a powder and so you may have to use a spoon to stir on top of a blender.  There is a slight hint of vanilla and it is not gross.  I was using it to replace two meals a day for weight loss.  Then I got sick with the double over painful gas cramps that others discuss and it takes two days to get it out of you.  A doctor told me it was the inulin others mentioned here.  I have tried it again.  If I stick below ten grams of fiber from the inulin in one day, I am okay.  More than this, it is very painful, had to eat kefir and take pepto to make the pain stop. If you have trouble with inulin, limit your consumption to no more than one serving a day or every other day.  I did not have this problem with the liquid version of this product",2015-07-02,-0.942
172031,172048,US,51190579,R32PY945Q31TU9,B00T14Q1V8,450478376,Golden State Fruit Happy Mothers Day Fruit Basket with Cheese and Nuts,Grocery,1.0,0.0,0.0,N,N,... in Ohio and she finally told me it was terrible! Four of the pieces of fruit were rotting ...,I bought this for my mom in Ohio and she finally told me it was terrible! Four of the pieces of fruit were rotting and the others did not taste good she said.  I was trying to give her a little California sunshine for Mother's Day but it didn't pan out as planned.,2015-07-02,-0.2696
174236,174254,US,1935504,R3SRXUQTQ7R0QN,B002QGLFXM,829639755,"Jelly Belly Bean Boozled Spinner Gift Box Game, Net Wt 3.5oz , PACKAGED BY SNACK BITES INC.",Grocery,2.0,0.0,0.0,N,Y,this was really horrible and it really stunk up my whole room thats ...,this was really horrible and it really stunk up my whole room thats gross and one of my friend actually trew up from eating this thange the flavors to more normal bad flavors!!!,2015-07-01,-0.905
175930,175948,US,2568021,RJDJRB7GXOHKR,B0009F3SAK,460300239,"Yogi Tea, Skin Detox - Soothing Rose Hibiscus, 16 Count (Pack of 6), Packaging May Vary",Grocery,1.0,17.0,24.0,N,N,Extremely sick,"I liked the taste, but this made me extremely sick. The first two times I drank it, it was fine. By the third day I felt sick immediately. I had been running back and forth from the bathroom at least 50 times in one day. I was nauseous, light-headed, and bed ridden for three days. I'm a pretty healthy person as it is, I just wanted to try a new tea. I guess I should've looked more into what detoxing does to you. The morning after taking it, I threw up immediately and continued to make rounds to the bathroom. I wasn't able to eat so naturally, I lost 3 pounds. Terrible experience :/",2015-07-01,-0.8872
