Unnamed: 0,Unnamed: 0.1,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,sentiment_score,food_safety_flag
2081314,2081424,US,42532864,R2FO49SD3DY40Q,B005ATICYC,792561286,Davidson's Tea Bulk,Grocery,1.0,3.0,3.0,N,Y,looks like rotten black tea not white tea,"The tea in the package does not even resemble white tea, it certainly does not look like the picture.  It tastes horrible Do not buy this product. 0 stars if possible",2012-01-29,-0.4956,1
2081918,2082028,US,41640143,R24YCGTMFMXHVJ,B000RHSX9G,865518075,"Oyster Mushrooms, 1 Lb Bag",Grocery,1.0,4.0,12.0,N,Y,If you like to throw up,I am a mushroom lover.  I have eaten these 3 times  1. indigestion  2.wished I could puke them up ALL night long  3. Puked my guts out  They're in the trash.  You get what you pay for.,2012-01-28,-0.4215,1
2084250,2084360,US,45570242,R2DJZ8MTBYAFRH,B000FMMTHK,162663470,Waggin Train Chicken Jerky Tenders 40oz,Grocery,1.0,4.0,5.0,N,N,poison,"these treats are from CHINA and they are poisoning dogs thoughout the usa.  there are heartbreaking stories of death all over the internet.  people are begging for these products to be banned.  they cause kidney failure and death.  please do not buy these products or any like them.  check the manufacturer and be sure they are made in the usa.  many companies are in the united states but the treats are made in CHINA then shipped back to usa.  these products have no place on amazon's website or any place in usa. remember dog food, similac (baby formula) & toys painted with lead...all from CHINA",2012-01-22,-0.8519,1
2089380,2089490,US,48512938,R37QTKMBKPI5ZC,B000EMPN8I,913865359,Coffee Creamer,Grocery,1.0,4.0,7.0,N,N,Hydrogenated oils are poison,"Any product with hydrogenated vegetable oils isn't worth buying.  The fact that they are pretending not do have any by using a low serving size and rounding down to get to \\""0\\"" grams, makes this a scam.  Shame on you Nestle.<br /><br />Hydrogenated oils have been banned in NY for a reason - they are poison for the human body. See the Wikipedia article on trans fats for more information.  Here is a clip : \\""Because of these facts and concerns, the NAS has concluded there is no safe level of trans fat consumption. There is no adequate level, recommended daily amount or tolerable upper limit for trans fats. This is because any incremental increase in trans fat intake increases the risk of coronary heart disease.[2] \\""",2012-01-12,-0.9318,1
2090663,2090773,US,18576817,R11YY03IJ03Z20,B003ZBV4WY,357884251,Pounded Yam,Grocery,1.0,12.0,12.0,N,Y,"mostly un-natural, white potatoes, hydrogenated oil, cornsyrup and chemicals, NOT YAM, contains sulfites (dangerous for some)","Very disappointed in this product!  NOT Yam--it is Potatoes.  Item description states \\""all-natural\\"" pounded Yam.  Here is from back of package:  \\""Ingredients: Potato Granules (dehydrated white potatoes, mono and diglycerides, disodium dihydrogen diphosphate, sdium bisulphite & ascorbyl palmitate), Potato Starch, Shortening, hydrogenated soybean oil, corn syrup solids, sodium caseinate (milk derivative) sodium silicoalumionate, dipotassium phosphate, Yam Flour.  Notice the Yam is listed LAST, not first!",2012-01-09,-0.6094,1
2094355,2094465,US,23724645,REOJ0CQ1MCO7,B0052DH5A8,629757706,"Milo's Kitchen Chicken Jerky Strips Dog Treats, 23 oz.",Grocery,1.0,1.0,1.0,N,N,Made our dog sick!!!  Made in China!!,"We have a Golden Retriever that suddenly started having major diarrhea problems for the first time.  After a trip to the vet and administration of medication he continued to have problems.  We had been trying to figure out what he could have been getting into or any changes that we had made in his diet when we remembered that we had been occasionally giving him Chicken Jerky from Milo's Kitchen.  Since we stopped giving them to him he has had absolutely no problems.  It was a few days later that we saw a report on TV that said dogs had been getting sick from chicken jerky made in China.  I grabbed the package out of the cupboard and saw, in small print, \\""made in China.\\"" I went on the Milo's Kitchen website to see if there had been a recall of the product and found only that they were chiding their customers to use the treats in moderation and that they were not meant to be meals.  I don't think that 1 chicken strip every couple days is excessive for our 95lb Golden.  I absolutely cannot recommend this product to anyone.",2012-01-02,-0.918,1
2094942,2095052,US,16898528,R1LSSNB0EPY0H5,B001AEX1FG,969947869,Waggin Train Chicken Jerky Tenders Dog Treats - 48oz. Bag,Grocery,1.0,4.0,5.0,N,N,"RUN RUN RUN, away from this dangerous product!!!!!","READ, BE INFORMED ABOUT WHAT YOU ARE FEEDING YOUR PET! I had to apply one star to rate this item to create this post as there is no rating for a negative stars. I WARN YOU - DO NOT take a chance on this product; they are MADE IN CHINA, my dogs had seizures, diarrhea, excessive thirst and frail final years of life concluding in death. We fed these treats as directed on the package however something must have been tainted. I was very careful with all items given to my dogs however never realized these treats were made in CHINA!! I filed my complaint with the FDA and symptoms were the exactly same as with all other dogs that died!!! While I have done my best to educate Costco on discontinuing sales of this product locally as well as their corporate offices, legal staff and CEO, they have told me it is one of their biggest moneymakers. You have the power - STOP BUYING THIS FROM COSTCO and every other vendor selling this product!!!    [...]  [...]",2012-01-01,-0.915,1
2102021,2102132,US,44980436,R31X1R156JNE20,B001AEX1FG,969947869,Waggin Train Chicken Jerky Tenders Dog Treats - 48oz. Bag,Grocery,1.0,1.0,2.0,N,Y,made my dog ill,"gave my dog diarrhea and vomiting, also if you go to the blog it made a lot of dogs ill.",2011-12-15,-0.4215,1
2104124,2104235,US,24970106,R1VA7ZT16LGKTB,B005BHIESC,696535134,"Vita Coco Coconut Water with Tropical Fruit, 17-Ounce (Pack of 12)",Grocery,1.0,4.0,5.0,N,Y,"tastes rotten, as if packed incorrectly","I really feel it is not the flavor that is causing the problem; it tastes rotten so I'm wondering if the packager let some part of the juice sit out too long.  I haven't had a problem with VitaCoco products prior to this so I really think that is what happened.  I am also concerned because these comments have not been addressed by the company.  In my opinion, these should be recalled.",2011-12-11,-0.8271,1
2109298,2109409,US,53031927,RTIBG30LM0YGC,B001EO684I,581688767,"NOW Foods Fructose Granules,  48-Ounce (Pack of 4)",Grocery,1.0,2.0,13.0,N,Y,Very dangerous - research before you think about buying,"I finally put pieces together -- why fructose had disappeared off any store shelves and I had to order it here, and also why they're having to advertise it on TV to try to turn back public perception.   Fructose, and high-fructose corn syrup are proving to be very dangerous, causing many disruptive health problems. It's processed differently in the body than sucrose -- yes, our bodies CAN tell the difference -- and while they used to think that was good, they're now finding many ways in which it is bad.   This is not returnable, so when I received my (2nd) order, I dumped it in the dumpster. It caused \\""non-alcoholic fatty liver disease\\"", intense intestinal swelling and distress, highly-elevated blood pressure, and other problems that indicate these warnings were getting more serious.   If this is from corn and not fruit, it's even more dangerous. (Thank you, reviewer \\""Debe\\"".) Really check this out through Google, etc., before considering adding it into your life.",2011-11-29,-0.9741,1
