Unnamed: 0,Unnamed: 0.1,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,sentiment_score,food_safety_flag
326236,326273,US,16432186,R2YC6VUX7VO5BW,B00I28OQ7K,737411235,"NuSweet Liquid Sucralose , Concentrated Liquid Sweetener, 4 Oz",Grocery,2.0,0.0,0.0,N,Y,"Maybe it's just me, but I felt incredibly sick ...","Maybe it's just me, but I felt incredibly sick after adding just a tiny drop to a large coffee.  Probably too concentrated for my use.",2015-05-08,-0.8196,1
328081,328118,US,35063366,RUV2DJU2VFFS3,B004TJD758,777514546,Amazing Grass Green Superfood Antioxidant Sweet Berry,Grocery,1.0,61.0,89.0,N,Y,I tried to make it in shakes and other things but the taste is horrible and felt nauseous after being able to drink it,Made me feel sick after eating it. I tried to make it in shakes and other things but the taste is horrible and felt nauseous after being able to drink it..,2015-05-07,-0.7845,1
329372,329409,US,25755268,R2DA44E6WRJ92Q,B001KY0960,687260499,Starkist Solid White Albacore Tuna - 5 oz Can ( 8 Pack),Grocery,1.0,6.0,7.0,N,N,"Pink, stinky, sloppy, mush that I feel stupid for eating","I would give zero stars if possible. I just bought a 4 pack of what should've been solid white albacore, what I opened was a disgusting pink slop that no matter how much you drain it, you end up draining pink ooze until there's not much left. Impossible to get the water out. It had thee most horrendous smell, far beyond the bit of fishiness I expect when opening a can of Tuna. That should've been my warning to throw it out!! But no, I was stupid and made the salad and we all got sick. Only those of us that ate it, my husband and son hate tuna so it's even more obvious it was the tuna. Everyone but the 2 that didn't eat it became ill. My mom got it the worst, but she's the oldest, so beware if you serve this to children or elderly. When in doubt, THROW IT OUT! I know I won't be buying this brand again.",2015-05-07,-0.9787,0
335594,335632,US,37351582,R175XJQ5JG4UFR,B00NB5ZINU,258162143,Jif Whips Whipped Peanut Butter & Maple Brown Sugar,Grocery,1.0,1.0,1.0,N,Y,"and I got VERY sick in my stomach immediately after consuming this crap, might be coincidental","awful taste, and I got VERY sick in my stomach immediately after consuming this crap, might be coincidental, but I doubt it.",2015-05-05,-0.8365,1
336201,336239,US,46802895,R6AADA9T4FW53,B00NKGD9EA,385194683,"BOBA Black Tapioca Pearl Bubble Tea, 2 Pack (Each 8.8 OZ) + 1 Pack of 50 BOBA Straws (Variety Color)",Grocery,3.0,3.0,11.0,N,Y,Maybe dangerous?,I just read online that some of the bubbles were banned in the US because of a cancer risk. This has no English on the package. Decide for yourself- otherwise the product was just as expected. http://www.huffingtonpost.com/2012/09/05/bubble-tea-tapioca-pearls-may-cause-cancer-study-claims_n_1856152.html,2015-05-05,-0.8934,0
336645,336683,US,26730208,RC09B0UM1D05L,B0000EIEV3,27123741,"Melissa's Fresh Passion Fruits, 1 Dozen",Grocery,2.0,0.0,0.0,N,Y,rotten batch,a few came rotten.  bummer bc we were so excited.,2015-05-05,-0.4183,0
336978,337016,US,48861360,RZ6X3TNGSULS7,B006DVQFK4,48288496,Falksalt 4.4 oz,Grocery,1.0,1.0,3.0,N,Y,Buyer BEWARE - no citrus just something they call citrus AROMA (which could make you ill),"NO STARS.  I could NOT get it out of my kitchen fast enough.  It uses something called citrus AROMA but NO CITRUS.  I LOVE their other versions but this, THIS is nasty!",2015-05-04,-0.4868,1
351510,351550,US,44707711,R3MC2WF93NSE6V,B001LQZONU,416968787,"Stakich CHLORELLA POWDER - 100% Pure, Top Quality",Grocery,1.0,0.0,0.0,N,Y,( looks rotten never seen chlorella look or taste so bad!,"never buy this again , wish had money back  : (<br />looks rotten never seen chlorella look or taste so bad !",2015-04-29,-0.7494,1
355400,355441,US,1859478,R2NFE8DBDPC4GC,B00NBT2EZ6,46883415,"Campbell's Chunky Soup, Beef, (Pack of 12)",Grocery,1.0,0.0,3.0,N,N,Smells like old rotten maggoty sour stuff,"Smells like old rotten maggoty sour stuff, tastes like old rotten maggoty sour stuff. This and the Mushroom Swiss Burger makes me want to give up on Campbell's forever-obviously they don't care about the customers.",2015-04-28,-0.6031,0
355990,356031,US,18686630,R1RWMBMJIM3OTH,B00C35CC1U,850633399,Fixture Displays Folding High Chair Bar Stool Folding Wood Metal Chair Two-Pack 11036,Grocery,1.0,2.0,2.0,N,Y,Unsturdy and dangerous after only a few uses.,"Poor quality metal. Rear of seat bar falls out of the frame, both sides, both stools. Managed to get the back bar back into the frame again, only for it to come out again once stool was opened, and in use. Also the plastic brackets to pop the stool into open position popped off every time, eventually pulled off the seat. It shredded the wood when it ripped loose. Could only use if the person was sitting all the way back, and didn't lean forward much at all, as this is what caused it to self destruct. Huge waste of money and unsafe. So disappointed, would never recommend these, ever!",2015-04-28,-0.9336,1
359927,359968,US,20476609,R18Q8TH19CFUR9,B006N3I99C,718531235,"Twinings Earl Grey Tea, Keurig K-Cups, 24 Count",Grocery,5.0,0.0,0.0,N,Y,its great especially when you are sick,its great especially when you are sick!! i have really bad seasonal allergies so i drink it with honey and lemon and it really does help!!,2015-04-26,-0.292,0
374961,375002,US,20594005,R7067D2UONS46,B0014EW5MC,493427118,"Campbell's Condensed Soup, Double Noodle, 10.5 Ounce (Pack of 24)",Grocery,5.0,3.0,3.0,N,N,Keep it stocked in my pantry when sick!,"Whenever I am sick, the double noodle soup does the trick. I add more water to it so it has more broth. Every time I eat it, it helps settle my stomach and give me some energy that I did not have.<br /><br />Since I swear by it my mother recently bought some and said when she had a sore throat, this was all that she could eat. If you don’t feel well, I would recommend the double noodle. It does not seem to matter what is wrong with you, it will fix it.",2015-04-21,-0.2672,0
391759,391801,US,49137513,R242R27EKZWYY9,B0007WK1VY,735614679,"Pure Poison Hot Sauce, 5 fl oz",Grocery,5.0,0.0,0.0,N,Y,"... they all boast ""HOT"" on their labels but many disappoint. Pure poison delivers and remains my favorite",The problem with many hot sauces is that they all boast &#34;HOT&#34; on their labels but many disappoint. Pure poison delivers and remains my favorite.,2015-04-16,-0.7311,0
413614,413656,US,43576116,R1G6SB2KIMFIEK,B00BJN7EDS,406033805,"Puroast Low Acid Coffee French Roast Single Serve Coffee, 2.0 Keurig Compatible, 12 Count",Grocery,1.0,1.0,2.0,N,Y,Made me sick,"I actually didn't think it tasted THAT bad, but it made me extremely sick. Definitely not low-acid. In fact, regular coffee is easier on my stomach. Do not recommend.",2015-04-09,-0.2817,1
415316,415358,US,41254090,R2L9F74UF4AIH0,B001E5E0Y2,219289946,Navitas Naturals Organic Cacao Nibs,Grocery,3.0,29.0,31.0,N,N,total poison that must be roasted/brewed. absolute scam. toxic in raw form.,"as an example, let's look at the so called superfood moringa<br /><br />http://s8.postimg.org/8ei4z97md/sfsfsdfsf.png  - for full details of study<br />http://www.pjbs.org/pjnonline/fin2301.pdf<br />http://www.scihub.org/ABJNA/PDF/2013/1/ABJNA-4-1-71-77.pdf<br /><br />they found that it had to be roasted/cooked to remove the phytic acid and oxalic acid.<br /><br />It's the same for raw cacao folks. ancient cultures roasted it and brewed it in teas.<br />no one eats it raw. it is poison in raw form.<br />it's about time these hucksters were shown the door.<br />South American farmers think westerners are completely crazy to consume it raw and are laughing all the way to the bank.",2015-04-08,-0.4576,1
422794,422836,US,13537726,REMVJX1DK65D1,B001I7MVG0,792179620,Bragg - Organic Apple Cider Vinegar with Mother,Grocery,1.0,12.0,21.0,N,N,Avoid like the plague! I've been sick since starting this regimen.,"Nausea, dizziness and sore throat. Started having these problems since I started taking ACV. My mother bought this exact brand from the grocery and told me to religously take it because it she claimed that it lowers blood pressure and cures a myriad of other diseases, and boy was I so wrong to listen to her! I felt way better before taking this stuff!<br /><br />Not everything you read on the internet is true folks! This product has done nothing for me other than give me health problems. Also do your research. You will be shocked to find out how prolonged consumption of this stuff can severely damage your GI tract (esophagus) and your intestines. I'm not sure why the reviews for these are so high. But I've also read that many manufactuters purchase fake reviews on Amazon and other sites to entice people to purchase their product. Maybe this could be the case here? I'm about to set an appointment with a doctor when I felt perfectly fine before I even took this product.",2015-04-06,-0.9396,1
430223,430265,US,35350451,RO7V1C2DMTCVE,B00HYL1ZDE,790609806,Oreo Cookie Dough Cookies,Grocery,1.0,1.0,2.0,N,N,Utterly disgusting!!!! Made me sick.,"Since when does cookie dough taste like maple syrup and burnt stale coffee? When oreo tries to make cookie dough cookies. These are so bad, I ate 2 and threw them out. 45 min later I got a really bad/painful stomach ache and felt sooo incredibly nauseous. Somethings WRONG with these. I can't fathom how these made it into production. Didn't the CEO of oreo TASTE THESE? The board of directors?? Someone??? What happened?<br />THAT BAD.",2015-04-03,-0.9446,1
445526,445568,US,16877267,R2OXRAIW8IRQDP,B00I9JXB4Q,338670068,Huy Fong Chili Variety: One 8 oz Bottle Each of Sambal Oelek Ground Fresh Chili Paste and Chili Garlic Sauce in a Gift Box,Grocery,2.0,1.0,1.0,N,Y,it wasnt very good. ill stick with the,"i received a broken bottle of sambal olek.  i didnt try it bc it was open and on the box.  I did hovever, try the garlic sauce, it wasnt very good. ill stick with the sriracha",2015-03-29,-0.4913,0
450157,450200,US,37324634,R2AC96L01CK6O8,B000RQMQAO,657037677,"Choice Organic Teas, 16-Count Tea Bags (Pack of 6)",Grocery,4.0,0.0,0.0,N,Y,"it made me feel less sick, it's kind of ...","it made me feel less sick, it's kind of tasty (I never add sugar on any teas). Will buy again",2015-03-27,-0.4601,0
450543,450586,US,18905713,R2MVP39N374DQT,B002B9HC6I,340624174,Mad Dog 357 Ghost Pepper Hot Sauce 5oz,Grocery,5.0,0.0,0.0,N,N,Ever want to be dizzy and feel your hair sweat ...,Ever want to be dizzy and feel your hair sweat buy this and put one drop into any amount of food it won't matter you will see things..,2015-03-27,-0.4164,1
