,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
0,US,3400103,RHE0I3SUBRCC4,B008EL7MNU,904844560,Melitta Coffee Ground Medium Roast,Grocery,5,0,0,N,Y,Five Stars,Great taste on a long standing product,2015-01-21
1,US,15309149,R2C98ONJUUU492,B0009F3SA0,823507925,"Yogi Tea Snack Tea Bags, Caramel Apple Spice, 16 Count",Grocery,5,1,1,N,Y,Five Stars,I make sure I always have some of this w me when I'm travelling. Its fantastic,2015-01-21
2,US,48599072,R19MH3E7VLM7PB,B00FHCKUP6,503560775,"3 Color Sheen Pearl Set - 4.5oz Soft Gel Paste Gold, Silver, White Colors Cake Decorating Food Color",Grocery,5,1,1,N,Y,Five Stars,great item,2015-01-21
3,US,43241510,RH01X71O2N9NO,B00P7DR7SI,591496721,4 pack iaso tea - TOTAL LIFE CHANGES,Grocery,5,22,25,N,N,"Expensive, but worth every penny!!!","I have been drinking this tea daily for almost 5 years. I swear by it. I used to take prescription medication to normalize my bowels as I was constantly constipated no matter what I did. However, with one glass of this tea a day with dinner, my system is regular and I feel great!  It's spendy stuff, but worth every dime I've spent in the last 5 years.",2015-01-21
4,US,17064560,R1E9MKPTCFT5O2,B004TBD58K,420060059,Shiritaki Miracle Noodle Fettuccini 24 Pack,Grocery,5,0,0,N,Y,Love these when I am hungry and don't want to ...,Love these when I am hungry and don't want to eat badly. I just cook one of these babies and add whatever I want to them. It hits the spot at night. I just wish they were cheaper.,2015-01-21
5,US,32356011,R15FECQI5JYXZS,B001T5GHUM,961015637,"Tradition Pure Green Tea Powder, Matcha Tea Powder, Product of Taiwan, 8.8 Oz",Grocery,5,0,1,N,Y,Five Stars,This matcha was delicious.  I have used it in lattes and smoothies.,2015-01-21
6,US,36690087,R2ORWXTI54MQ06,B00OOX74S0,335950332,"Raw Wraps Spinach- Gluten & Soy Free, Vegan & Raw, Paleo (Quinoa Seeds)",Grocery,4,1,2,N,Y,For taste and fold and texture they are great. But it is questionable whether they are for ...,For taste and fold and texture they are great. But it is questionable whether they are for strict paleo or not. I did eat them though and they have a great taste. I was skeptical and figured they would be a wasted buy. They are expensive but a good alternative to flour wraps. They are sweet to taste and make good tacos.,2015-01-21
7,US,51813248,RMM8WB6PO0M10,B00EOWBXKG,636101683,"Whole Sunflower Seeds by GERBS - NON GMO - Gluten - Peanut - Tree Nut - Soy - Egg - Sesame - Mustard - Fish - Crustacean FREE. 100% All Natural, Vegan & Kosher. Grown, Processed, Roasted, Packaged in America.",Grocery,5,4,4,N,Y,Smoky Chipotle Review,"I chose Gerbs over David, Bigs, and Spitz because of the lower sodium content, but now flavor is my driving factor.  After trying those 3 big name brands, I got tired of the raw mouth feeling and the unnecessary amount of salt.  After eating quite a bit of my 2# bag, I gotta admit that Smoky Chipotle seriously tastes like it sounds.  It's got a good amount of heat if you're not ready for it, but the small amount of salt doesn't make you feel like you need to drink a lot of fluid.  Plus, the smoky pepper flavor keeps you craving more.  I won't buy any other seeds but this stuff from now on.",2015-01-21
8,US,15807566,R11OPK2TS6E2AX,B00473JIWW,767562411,"Herbox Bouillon, Granulated Chicken, 4-Ounce (Pack of 6)",Grocery,5,0,0,N,Y,this is the only bouillon i like and can eat because it has no msg,"this is the only bouillon i like and can eat because it has no msg, unlike others.i cannot find it in local groceries and hope amazon will sell this forever.",2015-01-21
9,US,49214627,R3ZM6211HIZIH,B0000UVRK2,475242351,Fig Balsamic Vinegar 6.7oz,Grocery,5,0,0,N,Y,Five Stars,Very good stuff.,2015-01-21
10,US,51939247,R8BXVNISDI7JU,B00250U8XC,24437532,"WillPowder Ultratex 3, Thickening Function, 16-Ounce Jar",Grocery,3,2,2,N,Y,"Honestly, I can't really tell any difference between it ...","Honestly, I can't really tell any difference between it and regular tapioca starch so far (in my gluten free baking).",2015-01-21
11,US,10038290,RIXE4S7AC68RL,B00K1Z1F44,881319284,"20-count K-cup Keurig Brewers Coffee Variety Pack Featuring Green Mountain, Newman's Organic, Coffee People, Emeril’s, Donut House, Grove Square Cappuccino, Tim Hortons, Martinson, Marley & More",Grocery,5,1,1,N,Y,This was the perfect starter kit to get for my hubby to go ...,"This was the perfect starter kit to get for my hubby to go with his new Keurig I got him for Christmas!  He loved the variety and still has a few left.  I tried to pin him down on a favorite so i could order more, but he's still testing!  LOL~",2015-01-21
12,US,10594534,R3JE5CD8K7I7B7,B000V17MLS,97035275,Kitchens of India  Curry Paste Variety Pack,Grocery,5,0,0,N,Y,Hmmmm easy and yummy,"Delicious!! I stir fried chicken first and add water and this and once boiled, I added  a lot of spinach. Hmmmm easy and yummy.",2015-01-21
13,US,10142920,R1WH1ATGIQT91P,B00D7YGJC4,642139026,Dark & Sea Salt Caramel Chocolate Squares,Grocery,5,0,0,N,Y,Great flavor and a nice treat,Yummy!,2015-01-21
14,US,35636376,R1403M33SNKAN6,B003ATKRW4,2117368,French Reims Champagne Ardenne Vinegar - 16.9 oz,Grocery,5,0,0,N,Y,Five Stars,tasty,2015-01-21
15,US,11141615,RFMNKHF49Q9F1,B00NVQ20D0,309215036,"Sheila G's Brownie Brittle, 5 oz",Grocery,5,0,0,N,N,Tastes great but want more in bag.,Nice crunchy mouth feel and good chocolate flavor. These make a nice snack but I was a little disappointed that there weren't that many pieces in the small bag I had. That may be just a quirk of the packaging process but if you enjoy something you'd like a little more of it in the container!<br /><br />Sample provided at the San Francisco Fancy Food Show.,2015-01-21
16,US,12190965,RZ615XV25E6SO,B00I5FZXEA,652694314,"Café Escapes Chai Latte, K-Cup Portion Count for Keurig Brewers, 24-Count",Grocery,5,0,0,N,Y,Five Stars,Sure saves on going to Sarbucks,2015-01-21
17,US,12576568,R1AUNZ5NAAW0RG,B00EVK3THQ,950607334,"Pepperidge Farm, Milano Slices, Salted Pretzel, 5oz Bag (Pack of 4)",Grocery,5,0,0,N,N,Yummy.,"There are perfect if you love salty & sweet. They are just as the name states, salted pretzel.",2015-01-21
18,US,14397114,R110ZEWVHL2V31,B005GQYJBE,715111040,Lulu Gourmet Preserved Meyer Lemons In Olive Oil,Grocery,4,1,1,N,Y,Arrived very quickly in excellent condition. No leakage and pleased they used eco ...,"Arrived very quickly in excellent condition.  No leakage and pleased they used eco friendly wrappings!  Didn't realize that this is actually chopped lemons or a type of jam/preserve rather than whole preserved lemons, but perhaps that is my fault for not checking the wording closely enough.  Taste nice and will use it in Moroccan recipes.",2015-01-21
19,US,6596313,R2Y9BV42K3B3A2,B002RBTVC8,798588145,"Lindt LINDOR White Chocolate Truffles, 60 Count Box",Grocery,5,0,0,N,Y,Five Stars,Yum!,2015-01-21
20,US,3236580,R2RPTTUKJIXKBS,B0063SYLM6,412785818,"A.C. Legg INC #10 Pork Sausage Seasoning, 8 oz",Grocery,5,1,1,N,Y,Five Stars,Everyone loves the flavor,2015-01-21
21,US,45454207,R3H2PJ06UKHH3F,B004N745T8,909472303,Jelly Belly Jelly Bean Chocolate Dips - Very Cherry - 2.8 Oz Bag (Pack of 12),Grocery,2,0,0,N,N,Doesn't even taste like a normal cherry jelly bean,"Not worth the calories.  Doesn't even taste like a normal cherry jelly bean, more like a cheap twizzler.",2015-01-21
22,US,45913421,R36A0NVRVW3UVV,B00BCNTCHG,578681693,"Larabar uber, 1.42 Ounce (Pack of 15)",Grocery,5,1,1,N,Y,"Best bars available, If you ask me","These are the healthiest bars I can find, if you investigate and read the ingredients thoroughly. They are my default bar.  I use them when I'm out, running around and can't find descent, healthy food - and don't have min. 45 mins. to dine.",2015-01-21
23,US,43267239,R3RNK3QUSZL1W7,B006B3PXJ8,698952841,Golden State Fruit Savory Favorites Assorted Nuts Gift Tray,Grocery,5,0,0,N,Y,but it looked just like the picture when it arrived,"This was a christmas gift so I didn't actually try it, but it looked just like the picture when it arrived!",2015-01-21
24,US,3076509,R1HFPWMZE4YGZA,B009LHPT0O,232690720,Wine Country Gift Baskets Tower of Sweets,Grocery,3,1,1,N,Y,ok,"Was small,but good quality",2015-01-21
25,US,20308497,R3KUCK8SW0DNF8,B00250M2ZY,654151550,Bobs Sweet Stripes Soft Peppermint Balls,Grocery,5,0,1,N,Y,YUM,Good buy! Will buy again!,2015-01-21
26,US,49116781,R2AW932JSI8P3P,B00K00H9I6,907961422,"CANADIAN FINEST Maple Syrup Maple Syrup on Amazon - 100% Pure Certified Organic Maple Syrup from Family Farms in Quebec, Canada - Grade B (B is the Best!)",Grocery,5,1,1,N,Y,True Maple Syrup,"Wonderful syrup, great taste, fair price, fast, safe delivery.  What more could you ask?",2015-01-21
27,US,51864375,R2DB4ZXTJZYAFP,B004BDC21W,345267863,Dinni's Select Dill Delight Sauce,Grocery,5,0,0,N,Y,This Is the Bang Sauce You've Been Looking For,"This is the sauce you need if you want to duplicate Bang Bang Shrimp from Bonefish Grill.  Another hint, if you're making the recipe, dust the shrimp in cornstarch before frying rather than breadcrumbs.  The shrimp will come out very crispy, just like at the restaurant.",2015-01-21
28,US,3102259,R2TH9R4OZJL68R,B0040PYG9W,413746241,"Libby's Fruit Mix -chunky In Pear juices Concentrate, 15-Ounce Cans (Pack of 12)",Grocery,5,0,0,N,Y,Five Stars,taste ggreat,2015-01-21
29,US,50463373,RNUQKXS1IRUBY,B00MRLWJU4,896121662,"Stur Coconut Variety Pack, Liquid Water Enhancer (Pack of 4), All-Natural, Sugar-Free, Calorie-Free, High antioxidant Vitamin C, Makes 80 Drinks",Grocery,5,0,0,N,Y,This is a great way to flavor my seltzer water all naturally and ...,"This is a great way to flavor my seltzer water all naturally and with 0 calories! I'm so glad I found this product. I haven't seen anything else like this, the small bottles are very convenient and I know my kids are not drinking additives & artificial sweeteners. I will buy this again for sure when we run out.",2015-01-21
30,US,29608387,RJJDSRRCK5ZAZ,B001E0YBM8,510006387,Rainbow Research Henna Hair Col Original And Conditioner Persian Medium Brown Chestnut - 4 Oz  (packaging may vary),Grocery,5,1,1,N,Y,This stuff is awesome. I used coffee and tea and vinegar all ...,This stuff is awesome. I used coffee and tea and vinegar all different times to see what I liked better both looked good. I wrap my head with clear wrap for like 3 hours and blow dry warm threw out the hours. Its messy yeah but its healthier for my hair personally. Felt thicker after but could be just me. I like the natural high lights I get out of it and next I'm adding mahogany to it,2015-01-21
31,US,33633358,R1W30F8A86FWD0,B00KSK2J24,637695467,"20-count TOP BRAND HOT COCOA Variety Sampler Pack, Single-Serve Cups for Single Cup Brewers",Grocery,2,1,1,N,Y,poor tasting hot chocolate,"Very weak, poor tasting hot chocolate. Leaves much to be desired.",2015-01-21
32,US,50782351,R1H9A9R9Q02DNM,B004TEWB0U,742082101,Ainsley Harriott Thai Chicken Lemon Grass Soup 92g,Grocery,5,0,0,N,N,Lovely Thai Chicken Lemon Grass Soup,"This soup is delectable.  It is a broth flavored lightly with coconut and (yes, aromatic) lemongrass, with a just a bit of spicy heat.  Although I did not taste much chicken flavor, the other flavors and the wonderful scent were well worth the quick preparation.",2015-01-21
33,US,42242935,R28X0HCWMOYA7,B0078PRWQA,675418299,"Dak, Premium Ham, 16oz Can",Grocery,4,1,1,N,Y,Tasty Ham!,This ham is very good.  The only complaint I have is that it is so hard to open.  I am a senior citizen and I am not able to pull the tab back on the can so I had to use a can opener to open it.,2015-01-21
34,US,18533804,R2UN5G2T4QQ88F,B00L2AS1LW,145150475,Jacob's Twiglets Original 12 x 105g Bulk Buy,Grocery,5,0,0,N,Y,Twiglets,"Wonderful vendor, rapid shipping, delightful product. Many thanks!",2015-01-21
35,US,47776814,R2JM1MN1QKE00C,B0019JMR6Q,844105023,EDEN® ORGANIC APPLE BUTTER 17 OZ,Grocery,5,0,0,N,Y,Five Stars,Only needs one work to describe.  YUM!,2015-01-21
36,US,20670942,R21YT4WHTV0U2R,B007RG1J9Q,340798579,"Mentos Gum Big Bottle Curvy, Bubble Fresh Cotton Candy",Grocery,5,2,2,N,Y,"Wonderful flavor, NEVER gets hard!!!!!!","Discovered this gum a few years ago and this Sweet Mint flavor is our favorite. In fact, I got my sister and niece hooked as well. The only downside is this flavor is VERY difficult to find in my area so I turned to wonderful AMAZON and there it was!!!!  This GUM does not EVER get hard and that is what I love most about it. Most other gums I've tried harden the longer you chew them, but this one NEVER, EVER does. Perfect sugarless gum, awesome flavor!!!!!",2015-01-21
37,US,34947221,R10AOFNLVZMO9R,B007TSL7J4,108937508,"Slap Ya Mama Cajun Seasoning Blend, Original, s",Grocery,5,0,0,N,Y,Five Stars,The best seasoning in the whole world,2015-01-21
38,US,16091259,R1NHD3JGLP275X,B004CG2EZ2,826022321,M&M's Cherry Cordial Limited Edition 9.90 oz Bag,Grocery,1,0,1,N,Y,No,Small bag and way overpriced!  My bad!  Arrived AFTER Christmas.,2015-01-21
39,US,40606370,R3FTNU74AQDMRZ,B00015YTSI,995312978,"Amaranth Grain, 1 lb.",Grocery,5,0,0,N,Y,I allowed mine to soak over night and add cinnamon ...,I allowed mine to soak over night and add cinnamon and berries I think it's delicious and came fresh I will order again,2015-01-21
40,US,52432973,RT40VRGODR5ZZ,B002PO09MS,704092372,"Fondarific Buttercream Wedding White Fondant, 5-Pounds",Grocery,5,6,8,N,Y,Favorite White Fondant!,"Fondarific is by far my favorite fondant! I have tried Satin Ice, Fondx (smells bad), Cake Boss (horrible! Elephant skin immediately), Hobby Lobby brand (smells terrible!) This is WHITE. I also really like to use Duff fondant and would prefer that, but his is not white white, its ivory so I use this instead for my white cakes. Highly recommend this fondant! I also use this with The Mat so no need for cornstarch, Crisco, powered sugar. NO elephant skin and smells & tastes great Love it!",2015-01-21
41,US,47672636,RXV2P9L6EQPKL,B0046HJN5G,840202637,KIND Minis Variety Pack,Grocery,5,0,0,N,Y,Five Stars,good,2015-01-21
42,US,32356011,R3IUZJBXR6OOEZ,B008EL6WBI,165930092,"Dragonfly Mung Beans, 4-Pound",Grocery,5,0,0,N,Y,I have had 100% germination on all seeds and the beans taste wonderful. I highly recommend this product,I have used these Mung Beans for cooking and growing sprouts.  I have had 100% germination on all seeds and the beans taste wonderful.  I highly recommend this product.,2015-01-21
43,US,47672636,R37OUN916GMPXQ,B005GWW97E,838664780,Centrifuged Coconut Oil - 32 ounce,Grocery,5,0,0,N,Y,Five Stars,good,2015-01-21
44,US,49234036,RLCAY0TCAQ76N,B0000CF3HB,204450679,"Chemex Bonded Unbleached Pre-folded Square Coffee Filters,",Grocery,5,0,0,N,Y,Five Stars,These are really good quality filters. Thank you!,2015-01-21
45,US,15807566,R1DOSGNZVNKFXR,B003S1TNIS,281940528,"FiberGourmet Light Spaghetti, 8-Ounce Boxes (Pack of 6)",Grocery,1,0,0,N,Y,One Star,i did not like the consistency or the taste at all,2015-01-21
46,US,27362956,R2Q0DTGWWXI3FZ,B002USKBXG,380475685,Domino Premium Pure Cane Granulated Sugar with Easy Pour Recloseable Top 16 oz.,Grocery,5,0,1,N,Y,Five Stars,love it,2015-01-21
47,US,51445508,R1UZM0P6A1L4AM,B000LT0D4S,755420717,Richardson After Dinner Mints (Pastel Mints) - 1.5lb Bag,Grocery,3,0,1,N,Y,Three Stars,enjoying,2015-01-21
48,US,41794869,R16VFCAMWRH6IL,B001FVLLK6,747661841,"Indus Organics Turmeric (Curcumin) Powder, Premium Grade, High Purity, Freshly Packed",Grocery,5,0,0,N,Y,Five Stars,"All organic, it's gr8.",2015-01-21
49,US,24785293,R336POZM6MNBCT,B00PJ5RH6Q,743608183,"Mountain Tea Company - Wild Beauty Oolong, Loose-leaf Roasted Oolong Tea",Grocery,4,1,1,N,Y,Cute Packaging and Pleasant Floral Aroma,"This is some classy stuff. The tin it came in was pink, very pretty and reusable, so I'll definitely be keeping it once I've finished my tea. What I like about this is that a little goes a long way. The leaves open up when wet so there's more in it than you think there is. The smell is pleasant and very flowery. There are multiple, specific seeping instructions on the tin for various quantities. There's also no need to let it sit long. The flavor comes out immediately. Good gift for an oolong lover or tea collector~",2015-01-21
50,US,14636982,R19Y066X090AZ5,B009Z4TK1C,474887521,Eva's Herbucha Organic Kombucha Starter Kit (Traditional),Grocery,4,1,1,N,Y,I took off one star for the listing title and ...,"I took off one star for the listing title and images being misleading.This IS NOT the kit listed.The SCOBY is exactly as pictured and quite thick. The rest of the &#34;kit&#34; is 4 Touch Organic brand green tea packets, a zip baggie full or raw sugar, and instructions the seller wrote themselves (that leave out a few details as other reviewers have mentioned) all obviously put together in their kitchen. Item shipped promptly and arrived quickly.",2015-01-21
51,US,45418684,R396MNPWOI0T1J,B00FCD54F6,82896421,"Hoosier Hill Farm Blue Cotton Candy Rock Crystals, 1 lb.",Grocery,5,2,3,N,Y,Yummy EXTREMELY fast delivery,All the breaking bad reviews were quite annoying -__-  The item shipped EXTREMELY fast! Ordered Monday and received Wednesday!  Awesome! ! Tastes exactly as I'd expect! Just like cotton candy. I was expecting a dinky filled bag but woahh definitely made it worth my money! Very plump bag! VERY. I am beyond satisfied.,2015-01-21
52,US,15807566,R3IEOSR7LMK663,B0045TAJ6C,482783216,"Martha White Apple Cider Flavored Muffin Mix,  (Pack of 12)",Grocery,4,0,0,N,Y,very easy. you just add water and the ducks love,very easy . you just add water and the ducks love it,2015-01-21
53,US,1104611,R2WHRJN2GYNWYN,B008OHYZC0,175409455,Organic Dried GINGER for Flavoring Kombucha (10-20 Servings),Grocery,5,0,0,N,Y,Five Stars,Amazing product,2015-01-21
54,US,17144676,R3ITH4WQ3ANVNJ,B000JMAVYO,162949448,Spicy World Almonds Whole (Natural and Raw),Grocery,4,0,1,N,N,Four Stars,Good value raw is flexible enough for trail mix or toppings,2015-01-21
55,US,31677614,R3IB1AR7CQ43I1,B00BT1UQNA,632819693,Heirloom Vegetable Seeds Non-gmo Non-hybrid Grow Your Own Food,Grocery,4,0,2,N,Y,"While I'm sure these seeds will produce a wonderful garden, they were purchased as a gift","While I'm sure these seeds will produce a wonderful garden, they were purchased as a gift.  I was disappointed that the packaging was so generic with none of the cute graphics included in the posting.",2015-01-21
56,US,43390282,RMLYNSRAY2Y1A,B002GWH8CI,20990117,"Coffee Bean Direct Spiced Chai Loose Leaf Tea, 2 Pound Bag",Grocery,1,0,0,N,Y,This is the worst Chai tea I have ever tasted,This is the worst Chai tea I have ever tasted! I saw some reviews that said it was good. That is a mystery to me. This stuff is weak no matter how much you add. Don't waste your money.,2015-01-21
57,US,38416704,R21JDIF1W5LKHN,B0005XN4AU,259295697,"McCormick Hot Shot Pepper Blend, 2.62 oz, Blend of Black and Red Pepper, Perfect Seasoning for Heat and Flavor",Grocery,5,0,0,N,Y,Five Stars,I use this product often and just can't live without it.,2015-01-21
58,US,13945522,R1NZCJT0GI16DY,B004H251V0,24509009,The Grainless Baker Gluten-Free Graham Crackers,Grocery,5,0,0,N,Y,Five Stars,wow tasted amazing.,2015-01-21
59,US,15807566,R2YC6ZNBHKDIKV,B001F0R9WQ,548749993,"Atkins Advantage Caramel Bars, Fudge Brownie, 1.6-Ounce Bars, 5-Count (Pack of 3)",Grocery,5,0,0,N,Y,Five Stars,"i like to keep these in case of emergencies ,like hurricanes.they taste good also",2015-01-21
60,US,36458913,RTGZLK9REUG7,B0092J8X04,594333063,Chamomile Tea Organic - 22 Count Tea Bags - Green Tea - Organic Chamomile Tea - Relax Tea - Herbal Tea,Grocery,5,2,2,N,Y,Recent herbal tea convert finds a winner.,I've been drinking chamomile  tea for a few weeks to aid intestinal discomfort.  I bought the easily available products in the grocery store which were OK although it was hard to find plain chamomile without added unwanted flavoring.  I turned to Amazon as I frequently do and read about Buddhas Herbs with the highly favorable reviews and the detailed description of the product.  I really like this tea and find it much better than the competition.  It is full bodied with a good character.  I especially noticed the care and enthusiasm exhibited by the sellers.  Good work Buddha.,2015-01-21
61,US,29100530,R12XS1RJ5566DG,B005HHE2WI,409478245,"Alsosalt Substitute Salt, Original, 2.50-Ounce (Pack of 3)",Grocery,4,4,4,N,Y,So I needed something to fill the gap so all the food I eat doesn't taste like gruel. Let me say this,"I can't eat real salt because of high blood pressure. After giving it up you realize just how much of your food has way more salt than any human should be consuming. So I needed something to fill the gap so all the food I eat doesn't taste like gruel.<br /><br />Let me say this. I love real salt. No substitute will ever come near it. But this product is probably the closest you can get to it. It does &#34;sort of&#34; taste like salt. When you taste it, you get the initial bite that you get with salt, but then the flavor never quite &#34;gets there&#34; and you have a subtle bitter aftertaste. Between this and nothing, I'd prefer this.<br /><br />Like other reviewers have said, AlsoSalt tastes pretty good in recipes that call for salt. You can even half and half it for a low-sodium variant of your favorite recipes. I've had this stuff on pork, chicken and beef and it works well. It's great in soups. I use it on scrambled eggs and hash browns. It's not bad over vegetables either. Anything that tastes bland that could have used salt I pretty much just coat in AlsoSalt, black pepper, and maybe some Tabasco sauce and it turns out pretty good.<br /><br />In closing: It's not as good as salt, but it's getting me through this. I'm already a couple weeks into dieting and I'm beginning an exercise regimen. Hopefully one day I'll get my numbers down and be able to eat the real thing again. But for now, this works.<br /><br />P.S. Never order this direct from the company. I placed an order for 2 bottles about 9 months ago and the company took my money, never sent the items, and never refunded me and don't seem to be answering my e-mails. Stick to Amazon.",2015-01-21
62,US,51484059,R2YBSN5BLMOJB0,B004BA03YI,587429233,Moonstruck Chocolate Mayan Hot Cocoa Mix,Grocery,5,0,0,N,Y,Yummy stuff,Yummy! Very similar to the Mexican Hot Cocoa my dad started making. Smells wonderful. It seems to have a touch of cinnamon that takes it up a step and makes it a year round treat.,2015-01-21
63,US,13492990,R3CAC6LURSHOBF,B004I05VDY,751937861,Coffeemate Original Canister/Coffee Creamer,Grocery,5,0,0,N,Y,... much else in my coffee so i am very pleased with this,I don't use much else in my coffee so i am very pleased with this product,2015-01-21
